k,test_size_pct,metric,features,accuracy
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.799613
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.785576
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.799129
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.799129
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.783640
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.799129
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.799129
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.797193
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.796709
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.796709
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.784608
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.796709
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.796709
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.798645
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.784608
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.797193
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.784608
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.797193
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToLowerRatio|wordCount,0.784608
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|wordCount,0.784608
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio,0.785092
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio,0.797193
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio,0.797193
13,15.00,EUCLIDEAN,lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.796225
13,15.00,EUCLIDEAN,charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.793320
13,15.00,EUCLIDEAN,charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.786544
